,reply_jeju_5
13,"제주 가족여행을 위한 교통편으로 제주항공을 선택하기를 잘 했다는 생각이 듭니다.
직원들도 하나같이 친절하고 성실했던 것으로 기억하고 있습니다.
몸이 불편하신 동네 독거 노인 한 분을 모시고 갔는데 할머니를 위해 가져 갔던 휠 체어를 탑승구 앞까지 가지고 갈 수 있었고 직원 한 분이 나와 따로 실어 주었으며 도착지에서는 다시 가지고 나와 기다려 주었습니다.
출발 단계에서 도착하기까지 전체적 서비스 내용이 매우 유려했고 실로 정성을 다 한다는 느낌을받았습니다."
14,항공 스케줄 시간이 정말 좋았습니다~ 덕분에 꽉 채워서 대만 여행 다녀올 수 있었어요!하루치 숙박비도 아끼고요~ 물도 무료로 주시고 감사해요! 수하물 무게도 넉넉하고 기내 자리 선택도 되니 정말 좋아요~
15,"저는 11월 1일 부산에서 김포까지 제주항공을 탔습니다. 평소에 제주항공을 자주 이용해서 포인트를 많이 쌓아 놓았는데 운좋게 일주일에 가장 저렴한 날에 포인트를 사용하게 되었습니다. 6200원으로 부산에서 서울까지 가서 너무너무 기뻤습니다. 또한, 캐리어도 공짜로 맡겨주셔서 너무 감사했습니다."
16,퇴근 후 공항으로 가는 일정이였는데 서울역을 통해서 가는 방법이엿어요. 근데 알아보니까 서울역에서 미리 출국심사를 할 수 있더라구요. 그래서 출국심사도 하고 짐도 보내고 공항까지 편하게 가고 들어가는것도 빠르게 들어가서 정말 편했어요!!ㅎㅎㅎ
17,"마츠야마 가는 노선에서 단발머리의 승무원분이 매우 친절해서 인상깊었던 항공사
다시 또 이용하고싶습니다^^"
18,제주도 가는데는 제주 항공이 최고인것 같아요. 연착도 없었고 승무원 친절하고 이착륙시 부드러운 운전으로 무척 만족했습니다.
19,김해공항에 셀프체크인에는 제주항공이 없지만 모바일체크인으로는 가능해서 일찍 신청하고 면세구역 빨리 들어가서 여유있게 면세품도 찾고 라운지도 즐기다가 출국했습니다.
20,"파타야 방문때 이용 했습니다 .저가항공을 몇년전 에어아시아를 타본이후로 안타서 걱정했었는데 괜한 걱정이었어요. 기내식이 안나오는것, 스크린이 없어 엔터테인먼트를 이용할수 없는 단점이 있지만 그만큼 가격이 싼 장정이 있어요. 저는 비행기타면 거의 잠을 많이자서 스크린도 크게 필요하지 않고 기내식은 뭐 복불복이라 가끔은 안나와도 될정도인 항공사도 있거든요. 티켓이 싼만큼 불필요한 서비스가 빠졌다고 보시면 됩니다. 운항시에는 별 문제 없었습니다."
21,"제가 느낀 제주항공은 저가항공이라 큰 기대 없이 탑승했지만 매우 만족스러웠던 항공사입니다. 밀 서비스는 따로 돈을 내야 하지만 물은 무료로 제공이 되고 남자승무원들도 많이 탑승하여 안전하게 느껴집니다. 담요도 제공되지 않고, 기내 엔터테인먼트도 없지만, 좌석도 좁지 않고 승무원분들이 정말 친절하셔서 인상 깊었습니다. 단거리로 이용하신다면 좋을 것 같습니다."
22,"가까운 나라를 갈 때 이용하기 좋은 저가항공사입니다
단거리 이용할 때 좋습니다 기내식이라던가 다른 것들은 대부분 별도 요금이고 2014년 말부터인가 2015년부터는 맨 앞 좌석, 비상구좌석을 돈 주고 구매해야합니다."
23,생각보다 편안하게 다녀온 항공사입니다...그리고 제가 간 사이판은 제주항공에서 운영하고 있는 라운지가 있어서 다양한 활동을 믿고 예약할수 있다는 점에서 매우 만족하였습니다.
24,"인천-괌 7시45분 비행기 탑승했어요. 이스타 이용하지 않았고 30분 지연됐는데도 괌 공항 도착 후 택시승강장까지 10여분? 정도밖에 안걸렸어요! 태교여행으로 다녀왔는데, 괌은 특히나 아기들, 아이들이 많다고 해서 비행 걱정했으나.. 우는 애기 없이 잘 다녀왔네요."
25,"여행거리가 짧았기 때문에 이런 저런 경험을 공유할 만한 내용이 많지 않음. 스튜어디스는 모두 친절했으며, 한국의 저가항공사임에도 일본으로 돌아가는 일본인들이 꽤 많았던 기억이 남."
26,신속하고 저렴합니다~ 크루들도 친절하구요... 근데 좌석중에 뒤로 안젖혀지는 의자있으니까 미리 좌석배정하세요~ 저가항공이니까 연착 등은 어쩔수 없는거 같아요
27,"LCC는 처음 탔는데 불만 사항을 많이 봐서 걱정했는데 기우였어요
승무원분들도 친절하고 자리도 생각보다 좁지 않았네요
4시간을 뭐하면서 시간 보내나 걱정했는데 중간에 게임도 하고 사연 신청도 하고 심심치 않게 유쾌하게 시간 보내면서 갔습니다
컵라면이 비싸긴 했지만 큰 아이가 너무 맛있게 먹는 모습이 예쁘네요
의자 쿠션이 얇아서 뒤에서 포켓 뒤지거나 발위치 바꿀때 느낌이 앞좌석까지 전해지는점은 안좋습니다"
28,"국내선이라 저비용 항공사를 이용했는데요, 50분 비행에 큰 기대도 안해서 그런지 불편함 없이 이용했습니다. 9월경 평일이라 가격도 저렴했구요. 다만 김포 공항 국내선이 너무 복잡해서 정신이 없었네요."
29,"일단 좌석은 엄청 좁습니다

맨 앞자리나 비상구자리를 얻지 않는 이상...

기내식은 따로 없으며 컵라면, 간식 등을 사먹을 수 있습니다

하지만 가격이 무척 저렴하고 서울역에서 체크인이 가능해서 방콕갈때 자주 이용합니다"
30,찜특가로 지난 2월에 신청해서 얼마전 다녀왔어요. 올때 갈때 비행기가 40분 연착했는데 태국에 있을때 비행기가 40분 연착될 거라고 미리 카톡으로 안내문자 보내줘서 시간 잘 맞춰 갈 수 있었어요
31,"저가항공이라고 생각하기에는 너무나 멋진 항공사 제주항공!
가격대비 가성비가 최고라고 말씀드리고 싶네요~^^
서비스가 항공사는 생명인데..정말 친절하고 모든걸 배려하는 항공사 같습니다.
참고로 저가항공을 여러번 이용해 봤지만... 제주항공만큼은 아닌것 같네요!
앞으로도 제주항공을 이용할 기회가 있다면 계속 이용하고 싶습니다."
32,"타이거에어, 타이/말레이 에어아시아, 에어아시아 X, 홍콩익스프레스, 세부퍼시픽 등 많은 LCC를 타보았지만, 그 중에서도 특히 국내 LCC들은 서비스도 좋고 좌석도 아주 넓은 편입니다. 대한항공이나 아시아나를 타던 사람들 입장에서는 당연한걸 못 누린다고 불평할 수 있는데, 제주항공의 서비스 수준은 저가 항공사들 중 단연 높은 퀄리티입니다."
33,"가격이 저렴해서 좋습니다
서비스도 만족스럽습니다
비행 시간도 잘 지켜지고 안정적인 비행이었습니다
더 많은 취항지가 생기면 좋겠습니다"
34,깨끗하고 친절합니다. 국제선 답게 비행기 규모도 컸고 따로 기내식은 신청해서 돈을 지불해야 하지만 목적지까지 기장님께서 운전을 아주 잘 하십니다. 만족합니다.
35,"국내 최대 저가 항공으로 수시로 하는 특가 이벤트를 통해 항공권 구입, 비상구 별도 구매, 기내 음료와 간식도 별도 구매라는게 기존 LCC 아닌 대형 항공사를 이용했던 사람들은 저렴한거에 만족해야 하죠. 하지만 서비스는 쵝오 였음..."
36,"언제나 프로모션 행사를 많이하는 항공사
전혀 대형항공사랑은 큰차이를 못느낀다. 특히 국내선일경우 더더욱 그렇다/"
37,"저가항공사 중에서는 싼가격은 아니었으나 ㅎㅎ 상당히 깔끔하고 괜찮은 좌석이었다.
아마도 또 홍콩을 가게 된다면 제주에어나 홍익 둘중에 선택하지 않을까.....ㅎㅎㅎㅎ"
38,"인천 방콕 왕복 30만원 안 되게 끊었네요
4시간 가는건데 이 가격이면 서서라도 갑니다
기내식은 좀 차이가 나긴 했지만
어차피 기내식으로 배부를 것도 아니고
방콕에 맛있는게 얼마나 많은데
좌석도 좁다고 해도 아시아인이 덩치가 커봐야 얼마나 크다고
결국 이코노미 타면 다 똑같아요
대한항공 70만원 넘게 주고 이용했던 거 생각하면
진짜 강력 추천합니다"
39,"여자 보통키라 좌석도 좁은..지는 잘 못느꼈구요!
메이저항공사가 저한텐 넓어서 여긴 딱 적당하다 느낀거같아요!
연착도 안되고.. 가격도 싸고.. 제주도 1시간도 안가는데 기내식줄린 없지만ㅋㅋㅋㅋㅋ
그래도 메이저랑 비교하라고 하면 기내식뿐이였습ㄴ디ㅏ.. 저에겐....
좀 더 긴거리를 가면 당연 메이저가 좋겠지만.. 전 제주도였기때문에~"
