,reply_tway
10,"Hands down worst airline I have ever flown on. Plane had problems, had to board another plane on the other side of the airport. Pathetic."
11,"I was flying from Vietnam to Korea on June 24, 2019. I had booked a ticket way back in March and was never informed that one free checked bag below a certain weight was not included (as is the norm on international flights). And since I was not informed that there was no baggage allowance, I did not know I needed to purchase the bag online ahead of time. Instead, I showed up at the airport and they charged me $80 to check my 18kg bag. When I asked whether the bag was overweight, they told me the weight didn't matter, the charge was for checking a bag, period.

Look, I know everyone hates baggage fees, but we all deal with it and it’s normally not that big of a deal. But, getting surprised charged half your ticket price for an underweight bag that the airline never told you that you would need to pay for flat out sucks. And, when I asked if I could buy the bag online, they told me it was too late because the check in counter was already open. I don’t normally complain about baggage fees, but this was ridiculous. My ticket cost $162 and then you surprise charge me another $80 at the airport where there’s nothing I can do but pay it, miss my flight, or go naked at my next destination. That sucks and it’s not fair.

$80 seems pretty excessive for a single checked bag, but I might have been willing to pay it if I knew it was coming and was able to fairly shop around. Instead, I got blindsided and screwed. And I want to make sure that doesn’t happen to anyone else.

Personally, I’ll never fly T’way Air again; but if choose you to, heads up, there’s likely to be a pretty heavy bag fee in your near future."
12,"Absolutely despicable with their baggage charges. There was no mention on my ticket confirmation that 0 baggage was included in the price until I was checking in at the counter 2 hours before my flight was to take off. Their argument was the baggage clause was noted on their main website and that I overlooked it.

FIRST OFF, when I booked my entire trip including this flight from Tokyo to Seoul, it did NOT direct me to the main website. It directed me to the ticket page only which did NOT state baggage was NOT included in ticket price. Also, there should have been mention in my actual ticket confirmation like any other functioning airline in the world.

SECONDLY, The airline was dishonest with the charge for my baggage when it came time. I was charged on my card $160 CAD for my baggage after the fact and is absolutely absurd because the counter agent wrote the total on a separate piece of paper showing the charge was supposed to be approx $29 CAD total. They wrote a totally different amount on the actual receipt and charged me a different amount in Korean Won. Another foreign couple next to me was unaware and shocked about their baggage charge at the counter too. Absolutely disgusting business practice.

I will NEVER use T WAY airline again and I hope others will take this as a warning that there is huge chance you will be conned and they bank on the fact that you will pay since you are half way across the world and about to miss your flight."
13,"arriving 2,5 hours early for our flight still wasn’t enough time to check in on time.
The staff spend most of their time running around panicking. Worst airline experience of my life."
14,Flight canceled without any prior notice. Forced us to stay in a horrible room. waited for more than 12hs.
15,i booked a flight from Seoul to Jeju Island for August. The flight was cancelled because of a typhoon! Im still waiting for a refund. Lastminute.de cant help me! and at the tway air nobody is going on the phone!? Whats wrong with this company!???
16,"Same experience as reviewer before me. I wasn't informed of the flight cancellations to Osaka and when I checked my online ticket,there was no change in the status. When I got to the airport,the staff offered to get me on a Narita flight,which I was ok with but then was later told it won't be possible after talking to their HQ. They also offered to reschedule to the 21st but that is around the time my vacation period for work ends. When we asked for a refund,the manager told me I have to message the tour company I bought the tickets from BUT thing is,I had bought them from the official Tway website and he wouldn't believe me for some reason. Not once did he even ask for my booking confirmation number! He just kind of ignored us after. I took the matter into my own hands and called their office in Korea. Thankfully they were extremely helpful even if they did not speak English. My refund will take about a week,so I had to cancel the trip altogether and pay for a hotel that I never checked into.Oh well,it is what it is. Needless to say I won't be using this airline again."
17,"Flight canceled due to airport closed after typhoon. No update, no email, no communication. I found out via airport website that only certain airlines are flying. no offer to get another flight at nearby city. NOTHING but a refund. Had to pay 5x the price of what we paid to get a same day flight! Booked through Travelocity - said Hahn Air Systems with flight operated by T'Way. No one will help! Cheap airfare if great if they are actually flying. I have never had an airline not help with getting another flight!"
18,I have flown with tway a few times now and have had issues with them every time. Today they charged me $320 for my checked bags. $16 per Kg. Total weight was 35kg. They go by their own policy not the policy of the airline you booked with. Even though I’m allowed one checked bag at 20kg they only gave me 15kg. I paid for a second though the airline but tway goes by kg only so would not honor the second bag I paid for. This is the 3rd time they have charged me for luggage I had already paid for. Then when I have explained and showed them my booking they do not care. Just say sorry and tell me I have to pay or remove weight. I will never fly tway again!
19,The English version of the website is terrible and could not complete the booking after the meal selection.
