,reply_jeju_5_en
10,"I have to say, after booking our tickets and THEN reading reviews I was extremely nervous and was prepared for the worst. Some were saying they had to pay for carryon items that were overweight and for “personal items” (because you’re only allowed 1 carryon item) and I honestly couldn’t find a good answer as to what was allowed no matter how much I googled. Upon arriving at Incheon airport we made our way to the ticket counter and were warmly greeted and got our boarding pass with not a single problem! They didn’t even weigh our backpacks and I questioned if I could take on my “personal item” for free. The answer was “Sure...no problem!” So we each boarded with 2 items...backpacks and purses! We did use the scales to make sure we were within the weight limits of the carryon item just in case. The flight left on time and arrived in Hanoi 15 minutes early with one of the smoothest landings I’ve ever experienced. And the flight attendants were absolutely precious...so friendly, helpful and kind. Thank you Jeju for a wonderful flight and all around great experience!!!!"
11,"This is the first time we flew Jeju. The staff were all very friendly and helpful. We went to Seoul for Labor Day weekend. The flight out was smooth. We did have a very hard landing, so hard I wondered if we broke the landing gear. My husband is a pilot so he was not impressed with the landing. On the way back we ended up checking a bag because we bought some Korean Skin Care. There was some confusion at the check in counter, but that's to be expected when you don't speak each others' language. The flight home was smooth sailing with a perfect landing.
You can pay $15USD each way to check your luggage. I considered paying in advance for the trip home knowing that I would likely buy liquids larger than 3oz. I decided I would do it at the airport. it ended up being $45 USD per back instead of $15 USD. BUY THE CHECKED LUGGAGE WHEN BOOKING YOUR TICKET"
12,"On time flight.
Comfortable seats for average height passengers.
Staff are efficient and helpful.
They serve water although food is not included in their normal fare.
I would definitely fly again with Jeju Air!"
13,Staff was nice and helpful. Flight was smooth and short ;) we even landed little sooner. Since it was short flight there wasn't food but perso al offer some water and my seat was at exit place so there was a lot of placw for the legs ;)
14,"We flew on April 17 00:50 AM and the plane was packed. I didn't get to note much of their service, only that their flight attendants did not speak much English and mostly used gestures to communicate with non-Korean passengers. I slept well-enough on the 4 hour flight and woke up occasionally because my body felt stiff from occupying the small seat space.

The best thing about this airline is that they have a check-in counter at Seoul Station. We booked a hotel nearby and we're able to check-in our baggage +5 before our flight while we went around Seoul for a bit before taking the AREX to Incheon Airport."
15,"A cheap and reasonably priced option to fly to Seoul. We had no problem whatsoever flying from HKG to ICN and back. Both flights were smooth with little to no delays, the attendants were courteous. I would fly this airline again."
16,Booked a flight with JeJu Air because how economical the ticket was. I wasn't expecting the first class customer service. Flights arriced and departed on time or earlier. The attendants were very attentive to everyone's needs. Thank you for giving my vacation a great start and finish.
17,"Great flight, friendly people. Everything was on time and ready. I fly with two small boys and we were very happy!"
18,I love that you are allowed 10kg of handcarry luggage. They give free water and the attendants are very helpful and nice.
19,"No frills airline. Check in at Narita was a breeze while there was a line at Busan to return to Narita but it moved along at a reasonable pace. I tried to check in using the application but had no luck.
The aircraft left on time on both legs of the journey. You have to pay for extras such as seating preference, food and excess baggage. I had 15kg checked baggage included with my ticket which doesn't happen with too many airlines. carry on is a generous 10kg.
Overall I was impressed with this low-cost airline."
20,"I bought their tickets through a cheep tickets website, although I was impressed with the company’s policy’s and how nice their employees were. First of all I was able to have 15kg of check in luggage free of charge! And most importantly is that I missed my flight due to the costumes And I got a full refund!! During this period stuff helped me a lot, making conversations with the immigration officers and helping me call the airline company itself. I tottaly trust this airline and I totally recommend flying with jeju air to prevent any unwanted experiences."
21,"Jeju air floor carpet was clean. The fabric on the chair felt sturdy soft and I repeat, clean. We slept well

(The regular pricey airline that I frequently use, will be put to shame for missing their details on grime and spills)

Air hostess blended into the cream white walls. They have white uniforms with off cream jackets.

Overall, it was like a pollution free atmosphere.

Over a dozen items to order for snacks, drinks or noodles. We had cup noodles for 3000 won.

They have a full fledged duty free shopping as well."
22,"Great airline
Everything well organized including schedule
New aircraft
Flight is short and hustle free
Thier attetude as oer luggage is relatively very friendly with an understanding to international tourists that have bigger bags and to the amount of stuff you may need to carry in the cabin"
23,"First time use Jeju Air, and it was great!
The service was awesome, for me it’s the same with big airlines.
Not like some LCC, they serve water, the seats are nice, what’s more, CA are very friendly, caring. I will for sure use again if I have to use LCC.
Thank you very much!"
24,"have delicious meal on plane and good service 👍👍

I recoment Korean pork with rice, very delicious and enough for long fly (for me 5 hours)

And the crew have a good service mind if you have problem just call them"
25,"Only a short flight from seoul to juju for a few days break when I was staying in seoul.
The check in was fast and easy as I am a foreigner I had to check in at the desks but there are self check in booths for locals. But the check in was fast and efficient.
The security is quite small and fast procedure. Plane it's self was clean and well presented, the seats were cramped but quite comfy and the staff were very pleasant. Will definitely use again next time I go to jeju"
26,"Service was great, aircraft ambience was amazing, seats were comfortable, flight was punctual and no uneasiness during landing of the aircraft."
27,"The seat is quite comfortable
Clean and also tidy 🤗
The Crew is kind and also give mineral water..
From Jeju to Busan, I also flew with Jeju Air
2 thumbs up for Jeju Air
Hope will come to Jeju Island again😍"
28,"My trip to Seoul last june with Jeju Air was more than satisfying feeling that i can't help comparing them to other airlines that i ever use before.
Of course there is no one can be satisfying with having a delay glight more than 3hours without any legit reasons but all the passengers seemed to be in order and understanding without any complaints. But to my surprise, they did offer some refreshments to their passengers while waiting for the delays. I was impressed with their services. (Somebody might think that that's normal but this is the first time i get served as such considering several airlines that i already had before.)
During the boarding, it was really calm, steady and polite. The stewardess and steward were super helpful and nice. Served water every 30minutes to the passengers. Thumbs UP for them!!^^
Cheap price too if you fortunate."
29,"This is the second time I used it to fly to Seoul. I decided to go this time last minute and got a very good deal. I usually travel light, and their 10 kg hand luggage allowance suits me fine. The cheap ticket this time even included a 15 kg checked bag (although I only had hand luggage). Flights were smooth and there was a 20-minute delay of departure time on my return leg which was ok."
30,"A great short hop airline. We used as part of a longer trip in Korea so needed additional baggage allowance. We opted for the 20kg allowance, minimal increase in cost but with the benefit of 'speedy boarding' and 'bags to the door' which equated to our bags being first off the plane and onto the carousel. Compared with European budget airlines this was excellent."
31,"For being a Low Cost Carrier the planes are well kept, the crew is kind and helpful and overall a comfortable Journey. Its worth paying extra for the Window seat to have a place and sleep...as there is no entertainment on board."
32,I fly from ICB-BKK cabin are clean and staff were great in service Jeju air is LCC airline but they provide free water to any passenger it good than any LCC airline in Asia seat pitch are good I'm tall 178 cm. but i didn't fell uncomfort like any LCC airline
33,"My second time on Jeju Air and the experience was good. I chose the flight because it's less expensive and goes to where I need to go in the Pacific. Staff was very friendly and professional. I highly recommend booking your flight online as early as possible and take advantage of the seat selection...rows 15 and 16 (737 aircraft) are the emergency exits, For a little extra money, you can get these seats and provides tons of room. Other seats are cramped. In-flight meals (ordered online) were ok but not necessarily worth the extra money. I will take Jeju Air again for short flights."
34,This airline wasn’t the most expensive but with that being said it was a very well flight. I thought I would get charge for my check in bag and my carry-on however there was no fee. The flight was only two hours so there was no tv. I was offered water however but other than that the flight attendants were nice And the leg room was spacious. I made it to my destination on time. What more could you ask for in a airline company .
35,"This flight boarded early, left on time, arrived 5 mins early. The stewards were nice and attentive and the flight was smooth..

Member with them to get member exclusive discounts. Prices arent bad and if its sale season you can get really cheap prices to South Korea and also as connecting to Japan and other places."
36,"The staff speaks english, so it made checking in easier, also, since I had checked in online earlier, it made the whole process smooth. Decent legroom (I'm an average Asian in terms of height) water provided during the flight, food isn't really necessary since it was an hour flight.

Got my flight at a cheaper price since I booked earlier"
37,Very quick and smooth flight both ways. Cabin crew were very helpful and friendly. A lovely airline to fly with.
38,"I always travel on a full service airline every time I travel. Since I have to go to Korea for just for a quick holiday, I find Jeju Air to be a good example on low cost carriers. Jeju Air exceeded my expectations and it gave me a reason to fly anywhere in Asia without spending too much. Jeju Air had comfortable seats (not leather ones on other low cost carriers) which makes it more comfortable to travel. The cabin crews are really kind really are very nice. flying with them is a great experience for those flying on a low cost. Flying with them will exceed your expectations about flying with an LCC."
39,"I flew with Jeju Air from Seoul to Jeju and back, then again flying with them from Incheon back to Nagoya. I was very impressed by my first impression of them, considering it is a low-cost airline. They seemed a lot more genuine than my experience with Canada Air earlier this year even. Though they had to change an airline last minute due to aircraft conditions at Incheon, I didn't feel inconvenienced by the delay much. (but all the announcements were in Korean and Japanese, I had to ask about what was happening myself)

I ordered a sandwich pack for 9,000 won when I booked the flight, knowing it'd be too late to eat by the time I get home. (and I seemed to be the only one ordering a meal, as far as I could tell) The food was pretty good (but only came with a small cup of water). However, I'd appreciate it if they weren't so eager to collect my tray when I was still eating.

On a side note, one flight attendant handed me a Japanese customs form, assuming I'm Japanese. I was briefly confused, wondering if the form should be in Japanese. I asked the other two flight attendants later; as soon as they heard my American accent, they looked at me funny and didn't say a word, simply handed me the English forms. In my opinion, airlines should start training their staff to NOT profile passengers based on race. It's highly unprofessional.

I loved how I didn't have to pay extra for luggage and Jeju Air's warmness, compared to other airlines. I've flown with different airlines in three continents over the years (4 airlines this year alone), I'd say that Jeju Air is probably my favorite with confidence."
