,Gender,customer_type,type_of_travel,customer_class,inflight_wifi_service,departure_arrival_time_convenient,ease_of_online_booking,gate_location,food_and_drink,online_boarding,seat_comfort,inflight_entertainment,onboard_service,leg_room_service,baggage_handling,checkin_service,inflight_service,cleanliness,age,flight_distance,all_delay_in_minutes
119870,1,0,0,0,5,5,3,5,2,5,4,5,5,5,5,4,5,3,53,980,61.0
121181,1,0,1,1,3,5,3,3,3,3,3,3,3,4,5,3,4,3,68,674,0.0
51244,1,1,0,0,5,0,5,1,2,5,2,2,5,2,4,5,4,2,22,719,-9.0
111644,1,0,0,1,1,4,4,4,1,1,1,1,4,4,4,1,4,1,34,192,-3.0
19352,0,1,0,0,4,3,4,4,2,4,2,2,3,3,4,3,5,2,24,585,27.0
120,1,1,0,1,3,0,3,3,1,3,1,1,3,5,2,3,3,1,26,416,9.0
86873,0,0,0,0,4,2,2,2,3,4,4,4,4,4,4,3,4,4,57,2438,25.0
54432,1,0,1,1,3,4,3,2,5,3,5,5,4,4,4,4,5,5,39,631,17.0
72330,0,0,0,0,1,1,1,1,5,4,1,4,4,4,4,1,4,4,39,3114,-12.0
4287,1,0,1,1,2,4,2,3,1,2,1,1,4,5,4,4,5,1,58,1080,0.0
39880,0,0,0,1,2,3,3,3,2,2,2,2,1,1,2,1,2,2,40,1036,6.0
43338,0,0,0,0,2,2,2,2,3,5,5,4,4,4,4,5,4,3,57,1947,8.0
105836,1,1,0,2,2,2,2,1,5,2,5,5,2,2,2,4,2,5,39,373,0.0
114629,0,0,1,1,1,1,2,2,1,1,2,5,5,2,5,4,5,2,50,2327,-27.0
68829,1,0,0,0,4,4,4,4,3,5,5,5,5,5,5,4,5,5,43,3222,0.0
110625,0,1,0,1,4,1,4,3,5,4,1,5,4,1,3,1,4,5,30,661,7.0
30514,1,1,0,0,3,2,3,4,3,3,2,2,2,4,3,2,2,2,20,2611,-8.0
114042,1,0,1,1,3,4,3,1,1,3,1,1,5,2,4,5,5,1,44,2300,-4.0
32280,0,0,1,1,3,2,3,4,1,4,4,3,3,3,3,3,3,4,63,872,-7.0
108134,0,0,1,1,1,3,1,4,4,1,1,4,4,5,3,1,3,4,21,599,25.0
64711,0,0,0,0,5,5,5,5,2,4,5,5,5,5,5,4,5,4,39,3124,-13.0
36911,1,0,0,0,2,2,2,2,3,4,5,4,4,4,4,5,4,4,43,3577,-5.0
108033,1,0,1,2,1,5,1,2,1,1,1,1,5,3,3,2,2,1,66,143,-17.0
77332,0,0,1,1,5,3,5,4,4,5,4,4,1,4,3,2,4,4,24,544,62.0
69790,1,0,0,0,2,2,2,2,2,2,2,2,2,3,4,1,4,2,9,1722,-6.0
103230,1,0,0,0,1,1,1,1,5,5,4,5,5,4,5,5,5,3,64,3498,-16.0
39238,1,1,0,0,3,3,3,3,3,3,3,3,3,3,4,5,4,3,39,936,0.0
93387,0,0,1,0,0,4,0,3,2,0,2,2,3,1,3,5,5,2,20,419,16.0
80769,1,0,0,1,4,5,5,5,4,4,4,4,5,2,1,3,1,4,43,266,0.0
91702,0,0,1,1,3,3,4,3,3,3,2,2,2,4,2,2,2,2,69,502,0.0
76309,0,1,0,1,2,4,2,4,2,2,2,2,2,2,4,4,3,2,26,399,0.0
109487,1,1,0,0,4,4,4,4,3,4,3,3,5,3,4,4,4,3,27,109,-20.0
59437,1,0,0,1,2,2,2,2,2,2,2,2,3,5,3,2,4,2,45,202,0.0
32020,0,0,0,1,3,4,4,4,4,2,2,3,3,3,3,1,3,1,42,409,0.0
127705,0,1,0,1,3,3,3,3,5,3,5,5,2,1,4,3,3,5,12,1017,0.0
32703,1,0,1,1,3,5,3,1,2,3,2,2,4,5,5,2,5,2,48,2106,-21.0
47478,1,0,1,1,1,5,1,5,1,1,1,1,3,4,5,4,4,1,33,777,-6.0
68593,1,0,0,0,2,2,2,2,2,4,5,4,4,5,4,5,4,4,47,372,2.0
75309,0,0,1,1,3,5,3,1,4,4,4,1,1,3,1,4,1,5,58,446,0.0
11731,0,1,0,0,5,0,5,3,3,5,3,3,5,2,4,3,5,3,25,646,24.0
101447,0,0,0,0,1,1,1,1,5,5,5,5,3,4,4,5,4,5,29,964,-10.0
5061,0,0,0,0,3,3,3,3,5,4,4,5,5,5,5,4,5,4,61,3470,5.0
31637,0,0,1,1,3,5,2,5,3,2,5,3,5,3,4,5,4,3,19,2172,-5.0
83915,0,0,1,1,4,4,4,4,2,4,2,2,5,4,4,4,4,2,30,569,-1.0
68304,1,0,0,0,5,5,5,5,4,4,4,4,1,5,3,5,5,4,26,2279,0.0
3604,0,1,0,1,2,2,2,2,5,2,5,5,4,5,4,4,4,5,22,1044,4.0
118979,1,0,0,0,4,4,4,4,2,5,4,5,5,5,5,4,5,4,51,1086,-9.0
39967,0,0,0,0,3,3,1,3,4,4,4,4,5,3,4,4,5,4,24,1506,-9.0
89063,1,0,1,1,3,3,3,3,5,3,5,5,1,3,3,2,3,5,9,1562,0.0
23493,0,0,1,1,2,1,2,3,4,4,3,4,4,2,4,1,4,3,60,280,0.0
85198,1,1,1,1,4,5,4,2,1,4,1,1,4,4,5,5,4,1,39,255,0.0
54070,0,1,0,1,3,0,4,4,4,4,4,4,1,5,3,4,4,4,38,516,4.0
78598,1,1,0,1,3,1,3,4,3,3,3,3,3,3,3,1,4,3,47,74,-10.0
2642,0,0,0,0,5,5,5,5,4,5,5,5,4,4,4,5,5,5,30,2002,0.0
126999,0,0,1,1,5,3,5,4,2,5,2,2,4,1,4,3,4,2,14,283,26.0
50176,1,0,0,0,4,4,4,4,5,5,4,5,5,5,4,3,5,3,50,3114,6.0
32491,0,0,1,1,3,4,3,3,3,4,4,1,1,3,1,4,1,3,63,834,0.0
46170,0,1,0,1,3,4,4,3,1,4,1,1,1,2,5,4,1,1,25,1249,-8.0
66024,1,0,0,0,1,1,4,1,2,5,4,4,4,4,4,5,4,3,65,1564,0.0
84606,0,1,0,1,3,3,3,4,5,3,1,5,1,3,4,1,3,5,26,680,-11.0
95890,1,0,0,1,3,4,4,4,3,3,3,3,3,3,3,4,3,3,37,1107,0.0
81371,0,0,0,1,5,2,2,2,5,5,5,5,1,2,4,5,1,5,25,533,-15.0
113418,0,1,0,1,1,1,1,4,2,1,4,2,1,3,3,2,4,2,28,1119,10.0
46168,0,1,0,0,5,5,5,5,2,5,2,2,1,4,3,2,5,2,21,347,0.0
118223,1,0,0,0,4,4,4,4,5,5,5,5,5,2,5,5,4,5,28,2695,5.0
50722,0,0,1,1,2,5,2,5,2,2,2,2,4,5,5,4,5,2,15,787,-5.0
15509,0,0,0,0,1,1,1,1,2,1,1,3,3,5,4,1,3,1,45,4963,13.0
76461,0,0,0,0,3,3,3,3,2,5,4,5,5,4,5,5,5,4,42,2428,0.0
91984,0,0,1,1,1,4,1,1,3,5,4,2,2,1,5,4,2,5,64,577,2.0
94749,0,1,0,1,3,2,3,3,4,3,3,4,2,1,4,2,4,4,38,327,8.0
93911,0,0,1,1,1,5,1,2,3,5,2,1,1,1,1,4,1,2,43,1235,1.0
66878,1,0,0,0,2,2,2,2,4,5,4,4,4,4,4,4,5,4,21,2182,-18.0
57711,1,1,0,0,4,4,4,1,2,4,2,2,1,3,3,5,1,2,37,223,0.0
31993,0,0,0,0,2,2,3,2,4,4,4,4,4,2,5,3,5,4,22,3685,0.0
54436,0,1,0,1,1,1,1,5,4,1,1,4,3,2,3,1,5,4,25,869,-12.0
99356,0,1,0,1,3,4,3,2,2,3,2,2,4,4,4,4,4,2,22,587,4.0
56109,0,0,0,1,4,5,5,5,3,3,3,5,5,4,5,2,5,3,61,696,3.0
85156,0,0,0,0,5,5,5,5,5,5,5,5,2,1,3,3,1,5,22,2381,0.0
16343,0,0,1,1,3,1,3,4,3,3,3,3,1,5,3,1,3,3,7,101,0.0
126947,0,0,0,0,5,5,5,5,4,4,4,4,4,2,3,3,5,4,22,2311,0.0
117337,1,1,0,0,4,4,4,4,4,4,4,4,4,5,4,4,5,4,26,484,0.0
121148,1,1,0,1,3,3,3,5,3,3,3,3,3,2,4,5,3,3,28,2149,0.0
13207,0,0,1,1,3,4,3,4,4,3,4,4,3,3,5,5,5,4,8,674,4.0
98309,1,0,0,0,0,0,0,4,5,1,2,2,2,2,2,3,2,3,56,2118,-7.0
85789,0,0,0,0,2,5,5,5,2,2,2,2,1,4,4,4,4,2,24,679,0.0
19676,1,1,1,1,2,4,2,5,5,2,5,5,4,3,4,3,5,5,53,266,0.0
42067,1,0,1,1,5,5,0,4,4,0,4,4,5,2,4,5,4,4,34,238,28.0
75529,0,0,1,1,4,4,4,1,4,5,5,5,5,4,5,3,5,4,46,571,5.0
4978,0,0,1,1,3,4,3,5,1,3,5,1,5,5,4,5,5,1,32,1009,-20.0
34690,1,1,0,1,4,4,4,3,4,4,4,4,4,4,4,5,4,4,19,1075,-2.0
38555,1,0,0,0,4,4,4,4,3,3,3,3,5,3,4,3,1,3,33,589,13.0
44122,0,0,0,1,4,4,3,3,2,2,4,4,4,4,4,3,4,2,44,679,0.0
56502,0,0,1,1,2,4,2,2,1,2,1,1,4,2,3,4,5,1,9,1744,31.0
128196,1,0,0,0,5,5,5,5,2,5,4,5,5,5,5,3,5,5,39,909,0.0
20327,0,0,0,0,4,2,4,4,3,5,5,5,5,5,5,3,5,3,56,1514,1.0
82114,1,1,0,1,2,2,2,4,2,2,2,2,3,3,3,4,4,2,25,1035,-13.0
81622,1,0,0,0,1,1,1,1,4,4,4,4,4,3,4,5,4,4,32,772,-12.0
77665,0,1,0,1,1,1,1,3,3,1,3,3,2,5,4,2,3,3,24,762,0.0
103685,0,1,0,1,3,5,3,1,5,3,5,5,5,5,3,5,4,5,42,84,34.0
106095,0,1,0,0,4,4,4,4,5,4,5,5,5,2,5,3,5,5,29,674,0.0
56950,1,0,1,1,3,5,3,3,2,3,2,2,5,5,5,4,4,2,58,834,0.0
94736,0,0,0,0,3,3,3,3,3,4,4,5,5,5,5,4,5,3,44,1545,2.0
100678,0,0,0,0,3,3,3,3,5,4,4,5,5,5,5,4,5,3,35,227,10.0
107651,0,1,0,0,1,1,1,5,2,1,2,2,5,5,5,3,4,2,45,1249,17.0
93548,0,0,0,1,3,5,5,5,5,3,4,3,3,3,3,1,3,1,58,304,0.0
81539,0,1,0,1,2,2,2,4,5,2,5,5,4,3,4,3,3,5,23,1389,18.0
5165,1,0,0,0,2,2,2,2,3,5,4,4,4,5,4,3,4,3,58,2671,0.0
88174,0,0,0,0,1,1,1,1,4,4,5,5,5,5,5,4,5,5,44,761,0.0
76045,1,0,1,1,3,5,3,3,4,3,4,4,3,2,4,4,5,4,7,162,0.0
8331,1,0,0,0,4,4,4,4,4,3,4,5,5,5,5,3,5,4,43,1670,0.0
29515,1,0,1,1,3,4,3,3,1,3,4,1,4,2,5,4,5,1,31,666,0.0
66346,1,0,0,0,3,3,3,3,5,5,3,3,3,3,3,1,3,1,41,3949,0.0
44745,0,0,1,1,4,2,4,3,5,4,3,5,5,4,5,2,5,2,50,1014,-9.0
70903,0,1,0,1,0,3,0,2,2,0,2,2,1,3,3,3,5,2,20,144,9.0
123368,1,0,0,0,5,5,5,5,2,4,4,4,4,4,4,4,4,5,61,2249,-1.0
111558,0,0,0,0,1,1,1,1,3,4,5,2,2,2,2,5,2,3,39,468,16.0
45252,0,1,0,1,5,5,5,3,1,5,1,1,5,4,4,5,5,1,9,970,0.0
26504,0,0,0,0,1,3,3,3,2,1,1,4,1,3,4,1,2,1,24,862,11.0
107988,1,0,0,0,5,5,5,5,5,1,1,4,4,5,4,5,4,4,40,3151,-12.0
73740,1,0,1,2,3,3,3,2,3,3,3,3,1,2,2,4,3,3,9,300,-4.0
60166,0,0,1,1,4,1,4,2,1,4,1,1,3,3,3,3,3,1,32,542,0.0
85245,1,0,0,1,2,5,5,5,2,2,2,2,2,5,3,2,4,2,55,499,0.0
96267,1,0,1,1,2,4,2,1,3,2,1,3,4,2,5,5,5,3,7,1276,0.0
10248,0,0,0,0,3,3,3,3,3,2,3,2,2,2,2,4,2,3,53,2398,0.0
19763,1,0,0,2,2,1,1,1,2,2,2,2,2,1,4,4,4,2,36,301,22.0
99119,1,0,0,0,2,4,4,4,3,2,3,2,2,2,2,4,2,3,44,3457,6.0
105265,1,1,0,0,4,5,4,1,4,4,4,4,3,4,5,3,5,4,23,1020,0.0
52106,1,0,1,1,2,5,2,2,2,2,2,2,5,4,4,4,5,2,44,1542,0.0
100714,0,1,0,1,4,4,4,3,4,2,2,3,5,3,4,2,3,2,26,765,-6.0
15401,0,0,0,0,2,2,2,2,3,3,4,4,4,4,4,3,4,5,54,2475,0.0
108794,0,0,0,0,4,4,4,4,4,5,5,3,3,3,3,5,3,5,59,1574,0.0
110931,1,1,0,1,3,3,3,4,4,3,4,4,3,5,2,2,4,4,14,920,0.0
108858,0,0,0,1,2,3,3,3,3,3,3,2,2,2,2,1,2,2,57,727,-3.0
126642,1,0,0,1,4,2,2,2,4,4,4,4,3,1,1,5,3,4,55,196,5.0
60119,0,0,0,1,1,5,5,5,5,4,3,1,1,1,1,1,1,2,45,277,0.0
46980,0,0,0,0,2,2,2,2,2,5,4,4,4,4,4,4,4,3,53,1560,0.0
127875,0,0,0,0,5,5,5,5,3,5,4,3,3,3,3,4,3,4,44,606,3.0
27217,0,0,0,0,3,4,3,3,2,4,4,3,3,3,3,5,3,4,41,2714,0.0
111613,0,0,1,2,3,4,3,1,4,3,4,4,4,4,4,4,5,4,37,223,11.0
49428,0,0,0,0,2,2,2,2,4,4,4,5,5,5,5,4,5,4,41,1773,0.0
97660,0,0,1,2,1,4,0,4,4,0,3,4,2,4,3,2,3,4,30,639,0.0
94704,0,0,0,0,5,5,5,5,1,3,4,4,4,4,4,4,4,5,40,188,0.0
91858,1,1,0,0,1,1,1,3,2,1,2,2,5,2,5,4,5,2,26,480,0.0
4133,1,0,1,1,3,5,3,4,2,3,2,2,3,5,5,3,5,2,14,1565,7.0
93914,1,0,0,1,2,2,3,3,2,2,2,2,4,2,3,5,1,2,43,944,-6.0
122489,0,0,0,0,4,5,5,5,5,3,2,4,4,4,4,3,4,3,33,3567,0.0
102040,0,0,1,1,2,5,2,3,2,4,4,3,3,2,4,4,3,5,60,1037,0.0
90714,1,0,0,0,2,2,2,2,2,5,4,5,5,5,5,4,5,5,57,3519,-3.0
125692,1,0,1,0,3,5,3,4,2,3,2,2,3,3,4,5,4,2,33,2367,-25.0
107061,1,1,0,1,2,0,2,3,1,2,1,1,4,2,3,2,4,1,36,308,22.0
11432,1,0,0,0,3,3,3,3,3,3,5,4,4,5,4,1,4,3,53,2280,0.0
78279,0,0,0,1,4,1,1,1,4,4,4,1,3,3,5,4,4,4,29,936,-11.0
119371,0,0,0,2,1,1,1,1,1,1,4,1,3,2,4,4,4,1,24,1195,-1.0
61292,1,0,1,1,3,4,3,5,1,3,3,1,4,4,5,5,4,1,17,304,0.0
76640,0,0,0,1,3,5,5,5,3,4,3,3,3,3,3,2,3,4,47,406,13.0
85807,1,0,1,1,2,4,2,1,2,2,2,2,3,5,5,2,2,2,67,1947,-6.0
5826,1,0,1,1,0,5,0,3,1,0,1,1,4,2,5,3,4,1,9,634,0.0
22186,0,1,0,0,3,3,3,3,4,3,4,4,4,5,4,4,5,4,34,390,0.0
90114,0,0,0,0,5,5,5,5,4,4,5,5,5,5,5,3,5,5,38,3808,26.0
97079,0,0,0,0,1,4,4,4,3,4,4,1,1,1,1,2,1,4,47,1874,-23.0
33501,0,0,0,1,1,3,3,3,2,2,2,1,1,1,1,4,1,2,49,407,-4.0
53178,0,0,0,0,2,2,2,2,3,4,5,4,4,5,4,5,4,5,44,2475,-18.0
27047,0,0,0,0,2,2,2,2,2,2,2,4,5,4,5,2,4,2,45,1757,1.0
126592,1,0,1,1,5,3,5,1,1,5,1,1,3,2,3,3,3,1,58,945,0.0
42725,1,0,0,0,1,1,1,1,2,2,2,2,5,3,4,5,3,2,22,2300,-13.0
123441,1,0,0,1,4,1,1,1,4,4,5,4,1,3,1,3,1,4,22,871,-4.0
8624,1,0,0,0,4,4,4,4,2,3,3,4,4,4,4,1,4,5,37,2245,0.0
128807,1,0,0,0,3,2,3,3,3,5,4,4,4,4,4,3,4,3,50,594,4.0
21504,0,0,1,2,4,5,4,1,3,5,4,2,2,4,2,5,2,3,69,139,0.0
30859,0,1,0,0,3,3,3,2,2,3,1,2,3,2,3,3,4,2,37,1754,-5.0
103084,0,0,1,1,2,5,2,3,1,2,1,1,4,2,4,3,4,1,28,447,20.0
53524,0,0,1,1,3,5,0,4,4,0,5,4,3,5,4,5,5,4,40,248,0.0
122990,0,0,0,1,1,4,4,4,1,1,1,1,2,5,3,1,3,1,27,680,0.0
11017,0,0,0,0,1,1,1,1,4,4,4,4,3,2,4,5,4,4,26,507,0.0
33861,1,0,0,0,0,0,0,3,5,4,5,5,5,5,5,5,5,3,36,308,-3.0
34562,0,0,1,1,5,4,5,3,2,5,2,2,1,1,4,4,3,2,38,909,0.0
124269,1,1,0,1,3,3,3,2,2,3,2,2,3,5,3,1,2,2,38,1379,21.0
28450,0,0,1,1,4,1,5,4,5,3,4,3,3,5,1,3,3,3,65,630,0.0
69554,0,1,0,1,1,1,1,1,3,1,3,3,5,3,5,4,5,3,24,738,-13.0
51402,0,1,0,1,3,3,3,3,2,3,2,2,2,1,4,3,4,2,39,299,0.0
636,0,1,0,0,4,4,4,3,3,4,3,3,2,5,5,5,1,3,41,369,0.0
81183,0,1,0,0,1,1,1,4,4,1,3,4,3,4,4,5,4,4,37,672,0.0
100296,0,1,0,1,0,2,0,3,2,0,2,2,5,2,4,4,4,2,25,642,0.0
122893,1,0,1,1,3,1,3,2,4,3,4,4,3,1,2,2,3,4,35,1020,15.0
3648,1,0,1,1,2,5,2,3,1,2,1,1,4,3,5,3,5,1,42,1546,0.0
125938,1,0,0,0,1,1,1,1,2,5,4,5,5,5,5,5,5,3,56,372,1.0
950,0,0,1,1,2,1,2,4,1,2,1,1,3,4,3,1,4,1,23,1749,-8.0
79728,0,0,0,0,5,5,5,5,3,5,4,4,4,4,4,3,4,3,39,2867,0.0
30381,1,0,1,1,3,5,3,1,2,3,2,2,5,3,5,4,4,2,16,589,-8.0
60540,0,0,0,0,3,3,3,3,5,5,5,4,4,4,4,4,4,4,56,452,-3.0
93974,1,0,1,1,3,3,3,4,3,3,3,3,1,4,2,1,5,3,12,460,0.0
118080,0,0,0,0,5,5,4,5,5,4,5,5,2,3,4,2,3,5,26,1557,0.0
56120,1,0,0,0,3,3,3,3,5,4,5,4,4,4,4,3,4,3,41,2798,0.0
41217,1,0,0,0,3,1,1,1,3,3,3,1,2,2,2,3,2,3,25,2583,2.0
42893,0,0,0,0,0,0,0,3,3,5,4,2,2,2,2,4,2,4,42,301,0.0
92833,0,1,0,0,3,3,3,3,4,3,4,4,3,2,4,4,4,4,39,289,-1.0
63475,1,0,0,0,2,2,2,2,4,3,5,5,5,5,5,5,5,3,59,1726,0.0
60887,0,0,0,1,3,3,3,3,5,2,2,4,4,3,4,2,4,1,76,423,-9.0
64600,0,0,0,0,1,1,1,1,2,2,2,2,4,2,4,3,4,2,30,3311,0.0
86793,0,0,1,1,3,3,3,3,5,3,5,5,4,2,3,1,3,5,29,529,0.0
38584,1,0,1,1,3,4,3,4,3,3,3,3,1,5,2,4,4,3,47,370,3.0
103978,1,1,0,0,4,4,4,3,1,4,1,1,5,2,5,4,5,1,39,444,4.0
50257,0,0,0,0,3,3,3,3,4,3,2,3,3,3,3,4,3,4,37,3560,2.0
17118,1,0,0,0,4,4,4,4,2,1,3,5,5,5,5,4,5,2,44,2621,58.0
