,reply_jin_5_en
13,"Outstanding Exceptional Service! I am a United Airlines lifetime Global Services member (highest level) and flew Jin Air from Seoul to Narita. While there was a modest delay in the departure and because my original connecting time was 1 hour at Narita Terminal 1, I informed the flight attendants. To make sure that I made my connecting flight, they arranged for me to sit in an empty front row middle seat and made room for my luggage, and helped me get my luggage ready when we landed. The courteous, resourcefulness, and solution oriented plan helped me make my tight connection without any problem. It was one of the best service that I have ever received. I have flown millions of miles with many different airlines including the top airlines in Asia and Europe. Thank you Jin Air for the superb service!"
14,"My first time to fly Jin Air for my trip from Seoul to Bangkok round trip. Reasonable fare and didn't have high expectations. Flight attendants were very hospitable and attentive to passenger needs. Cabin was clean and all that - not much different from other airlines. In-flight meals were obviously not as good, and didn't finish them... Maybe for Jin Air to re-think what to do with it. All in all, I liked Jin Air given it's reasonable pricing. Recommend for others to try it out."
15,"The stewardess is good in serving the customers food , beverages ... at the same time the pilot are excellent with their flying skills as we have a non interrupted nap within 4 hours plus flight . Definitely will travel again with the airline"
16,"Great value for money, good deal in Easter holiday which includes baggage, light meal and good services. although online check is not worked for me, i did finished check in in counter quickly especially in Seoul Airport. around 10 counters were opened. Staff are cheerful and helpful. its surprising to see their causal but energetic uniform. I would choose Jin Air again."
17,"Not much to expect from this flight, a short trip from Da Nang to Seoul before heading home to SFO. However, it started off nicely with welcomed greetings as you would expect but then I cut my finger pretty bad loading up our carry on bags. The flight attendant was quick to provide a bandage but also she came back with ointment and applied it herself along with wrapping the bandage. I guess I was surprised by this as I would have been used to just being handed the first aid back in the states.

However, the most surprising thing and what was very nice was the airlines understanding that my father and I were needing to connect to our flight back to SFO. Our connection time was a bit short so they informed us as we were about to land that someone would greet us outside the plane (literally outside the plane) and escort us to the Transfer Ticket station (Korean Air).

This ended up being a life safer as my father is 71 and uses a cane to walk around, Terminal 2 of Incheon is a very large and having the Jin Air escort likely saved us around 25-30 minutes of additional walking/waiting to gain bearings, etc.

Very happy with the customer service shown by this air line and it's staff."
18,"Jin Air had the no-frills experience I was looking for. No frills, but A-1 service, comfy seats, efficient boarding, and over-all superb flight experience. No need to pay for more if a budget airline can provide all that Jin Air provided for us.

The flight from Cebu leaves around 2am and lands at Incheon around 7am of same day so we saved on 1 hotel night. We also got our tickets on sale at less than US$200 per pax round trip so it was doubly enjoyable to experience a comfy flight at a very low price. The flight back as equally enjoyable and comfortable. Highly recommended!"
19,"I flew Jin Air for a short trip to Taiwan. The check in line was pretty long but moved quickly. I was surprised by the two free checked bags policy even regarding a two hour flight. Guess I’m just too used to being ripped off my American carriers. The staff were all extremely friendly and we got a nice little snack box on the flight. This is unheard of on any low cost carrier in the US. Overall, I was very happy with the experience."
20,"Although only a short (1-hour) hop between Osaka, Japan and Busan, South Korea, I found all aspects of the Jin Air flight to be commendable; efficient, courteous and helpful. I understand Jin Air is a subsidiary of Korean Air and it shows in that it provides the kind of service you would expect from a major carrier, at budget prices.
Having previously flown Jin Air on longer routes Busan - Okinawa and Busan - Guam, I have never been disappointed with any aspect of the airline and they would be my first choice on any route that they fly within Asia."
21,"Jin Air offers an excellent service which connects Kota Kinabalu to Incheon. The wide bodied Boeing 777 is ideal for this 5 hour flight with adequate leg room and comfort even in economy class. The ground staff at Kota Kinabalu and Incheon are very courteous and helpful. Overall, this is one low cost carrier which cares for passenger satisfaction and comfort and it stands above the rest. Recommended."
22,"The flight attendants do a great job, and I've had a pleasant flight every time I took this airline. The only time there was a problem was when a return flight got delayed for a few hours because the plane had been held back in Cebu due to a typhoon. I received a text message that morning that advised me about the new departure time, and got to spend a few extra hours in the city, instead of waiting in the airport."
